common_name,additional_names,latin_name,family,polish_name
Baby Doll Ti Plant,"Ti-Plant, Good-Luck Plant, Hawaiian Ti Plant","Cordyline terminalis","Agavaceae","Kordylina krzewiasta"
Barbados Aloe,"Medicine Plant, True Aloe","Aloe barbadensis","Aloaceae","Aloes barbadoski"
Barbados Lily,"Amaryllis, Fire Lily, Lily of the Palace, Ridderstjerne","Hippeastrum spp.","Amaryllidaceae","Zwartnica"
Barbados Pride,"Peacock Flower, Dwarf Poinciana","Caesalpinia pulcherrima","","Brezylka nadobna (Pawí kwiat)"
Barbados Pride 2,"Bird of Paradise, Poinciana, Brazilwood","Poinciana gilliesii","Leguminosae","Poinciana Gilliesa"
Bay Laurel,"Sweet Bag, Bay Tree, Tree Laurel, Laurel Tree, Laurel","Laurus nobilis","Lauraceae","Wawrzyn szlachetny (Laur)"
Bead Tree,"China Ball Tree, Paradise Tree, Persian Lilac, White Cedar, Japanese Bead Tree, Texas Umbrella Tree, Pride-of-India, Chinaberry Tree","Melia azedarach","Meliaceae","Miodla pospolita"
Begonia,"Over 1,000 species and 10,000 hybrids","Begonia spp.","Begoniaceae","Begonia"
Bergamot Orange,"Bergamot, Citrus bergamia","Citrus Aurantium","Rutaceae","Pomarańcza bergamota"
Bird of Paradise,"Peacock Flower, Barbados Pride, Poinciana, Pride of Barbados","Caesalpinia gilliesii","Leguminosae","Brezylka Gilliesa"
Bird of Paradise 2,"Peacock Flower, Barbados Pride, Poinciana, Pride of Barbados","Poinciana gilliesii","Leguminosae","Poinciana Gilliesa"
Bird of Paradise Flower,"Crane Flower, Bird's Tongue Flower","Strelitzia reginae","Strelitziaceae","Strelicja królewska"
Bird's Tongue Flower,"Bird of Paradise Flower, Crane Flower","Strelitzia reginae","Strelitziaceae","Strelicja królewska"
Bishop’s Weed,"Greater Ammi, False Queen Anne's Lace","Ammi majus","Apiaceae","Aminek większy"
Bitter Root,"Dogbane Hemp, Indian Hemp","Apocynum androsaemifolium","Apocynaceae","Toinadół owłosiony"
Black Calla,"Solomon's Lily, Wild Calla, Wild Arum","Arum palestinum","Araceae","Obrazkowiec palestyński"
Black Cherry,"","Prunus serotina","Rosaceae","Czereśnia późna (amerykańska)"
Black Laurel,"Dog Hobble, Dog Laurel, Fetter Bush, Sierra Laurel","Leucothoe spp.","Ericaceae","Kiścień"
Black Nightshade,"Nightshade, Deadly Nightshade","Solanum nigrum","Solanaceae","Psianka czarna"
Bobbins,"Arum, Lord-and-Ladies, Adam-and-Eve, Starch Root, Wake Robin, Cuckoo Plant","Arum maculatum","Araceae","Obrazkowiec plamisty"
Bog Laurel,"Pale Laurel, Bog Kalmia","Kalmia poliifolia","Ericaceae","Kalmia wąskolistna"
Borage,"Starflower","Borage officinalis","Boraginceae","Ogórecznik lekarski"
Boxwood,"","Buxus spp.","Buxaceae","Bukszpan"
Branching Ivy,"English Ivy, Glacier Ivy, Needlepoint Ivy, Sweetheart Ivy, California Ivy","Hedera helix","Araliaceae","Bluszcz pospolity"
Brazilwood,"Bird of Paradise, Poinciana, Barbados Pride","Poinciana gilliesii","Leguminosae","Poinciana Gilliesa"
Bread and Butter Plant,"Indian Borage, Spanish Thyme, Coleus, Maratha, Militini, East Indian Thyme","Coleus ampoinicus","Labiatae","Plectranthus amboinicus (Koleus)"
Brunfelsia,"Yesterday, Today, Tomorrow, Kiss-Me-Quick, Lady-of-the-Night, Fransiscan Rain Tree","Brunfelsia species","Solanaceae","Brunfelsja"
Buckeye,"Horse Chestnut","Aesculus spp","Hippocastanaceae","Kasztanowiec"
Buckwheat,"","Fagopyrum spp.","Polygonaceae","Gryka"
Buddhist Pine,"Yew Pine, Japanese Yew, Southern Yew, Podocarpus","Podocarpus macrophylla","Podocarpaceae","Podokarp wielkolistny"
Burning Bush,"Wahoo, Spindle Tree","Euonymus atropurpurea","Celastraceae","Trzmielina purpurowa"
Buttercup,"Butter Cress, Figwort","Ranunculus spp.","Ranunculaceae","Jaskier"
Butterfly Iris,"Spuria Iris","Iris spuria","Iridaceae","Kosaciec bezlistny"
Caladium,"Malanga, Elephant's Ears, Stoplight, Seagull, Mother-in-law Plant, Pink Cloud, Texas Wonder, Angel-Wings, Exposition, Candidum, Fancy-leaved Caladium","Caladium hortulanum","Araceae","Kaladium"
Calamondin Orange,"","Citrus mitis","Rutaceae","Kalamondyna"
California Ivy,"Branching Ivy, Glacier Ivy, Needlepoint Ivy, Sweetheart Ivy, English Ivy","Hedera helix","Araliaceae","Bluszcz pospolity"
Calla Lily,"Calla Lily, Pig Lily, White Arum, Trumpet Lily, Florist's Calla, Garden Calla, Arum Lily","Zantedeschia aethiopica","Araceae","Kalla etiopska (Cantedeskia etiopska)"
Cape Jasmine,"Gardenia","Gardenia jasminoides","Rubiaceae","Gardenia jaśminowata"
Caraway,"Meridian Fennel, Persian Cumin","Carum carvi","Umbelliferae","Kminek zwyczajny"
Cardboard Cycad,"","Zamia furfuracea","Cycadaceae","Zamia szorstka"
Cardboard Palm,"cycads and zamias","Zamia spp.","Cycadaceae","Zamia"
Cardinal Flower,"Lobelia, Indian Pink","Lobelia cardinalis","Campanulaceae","Lobelia szkarłatna"
Carnation,"Pinks, Wild Carnation, Sweet William","Dianthus caryophyllus","Caryophyllaceae","Goździk ogrodowy"
Castor Bean Plant,"Castor Oil Plant, Mole Bean Plant, African Wonder Tree, Castor Bean","Ricinus communis","Euphorbiaceae","Rącznik pospolity"
Catnip,"Catswort, Catmint","Nepeta cataria","Lamiaceae","Kocimiętka właściwa"
Ceriman,"Cutleaf Philodendron, Hurricane Plant, Swiss Cheese Plant, Mexican Breadfruit","Monstera deliciosa","Araceae","Monstera dziurawa"
Chamomile,"Manzanilla, Garden Chamomile, Roman Chamomile, True Chamomile, Corn Feverfew, Barnyard Daisy, Ground-apple, Turkey-weed","Anthemis nobilis","Compositae","Rumian rzymski (Rumian szlachetny)"
Chandelier Plant,"Mother-In-Law-Plant, Kalanchoe, Devils Backbone, Mother of Millions","Kalanchoe tubiflora","Crassulaceae","Żyworódka rurkowa (Kalanchoe rurkowate)"
Charming Dieffenbachia,"","Dieffenbachia amoena","Araceae","Dieffenbachia powabna"
Cherry,"","Prunus spp.","Rosaceae","Wiśnia / Czereśnia"
Chinaberry Tree,"Bead Tree, China Ball Tree, Paradise Tree, Persian Lilac, White Cedar, Japanese Bead Tree, Texas Umbrella Tree, Pride-of-India","Melia azedarach","Meliaceae","Miodla pospolita"
Chinese Evergreen,"","Aglaonema modestum","Araceae","Aglaonema skromna"
Chinese Jade,"Silver Jade Plant, Silver Dollar","Crassula arborescens","Crassulaceae","Grubosz drzewiasty"
Chives,"","Allium schoenoprasum","Amaryllidaceae","Szczypiorek"
Choke Cherry,"","Prunus virginiana","Rosaceae","Czeremcha wirginijska"
Christmas Rose,"Hellebore, Lenten Rose, Easter Rose","Helleborus niger","Ranunculaceae","Ciemiernik biały"
Chrysanthemum,"Daisy, Mum; many varieties","Chrysanthemum spp.","Compositae","Chryzantema (Złocień)"
Clematis,"Virgin’s Bower, Leatherflower","Clematis spp.","Ranunculaceae","Powojnik"
Climbing Bittersweet,"Bittersweet, Waxwork, Shrubby Bittersweet, False Bittersweet, Climbing Bittersweet, American Bittersweet","Celastrus scandens","Celastraceae","Dławisz amerykański"
Climbing Lily,"Gloriosa Lily, Glory Lily, Superb Lily","Gloriosa superba","Liliaceae","Glorioza wspaniała"
Climbing Nightshade,"European Bittersweet, Deadly Nightshade, Violet Bloom, Blue Nightshade, Soda Apple, Poisonous Nightshade, Felonwort, Devil's Apple, Scarlet Berry, Woody Nightshade, Blue Blindweed","Solanum dulcamara","Solanaceae","Psianka słodkogórz"
Clivia Lily,"Kaffir Lily, Clivies, Caffre Lily, Cape Clivia, Klivia","Clivia spp.","Amaryllidaceae","Kliwia"
Clusia Rosea,"Clusia","Clusia major","Clusiaceae","Kluzyja różowa"
Coffee Tree,"Wild Coffee, Geranium-Leaf Aralia","Polyscias guilfoylei","Araliaceae","Polyscias guilfoylei (Aralia)"
Coleus,"Indian Borage, Bread and Butter Plant, Spanish Thyme, East Indian Thyme, Stinging Thyme, Country Boarage; many others","Coleus ampoinicus","Labiatae","Plectranthus amboinicus (Koleus)"
Common Privet,"Privet, Amur, Wax-leaf","Ligustrum vulgare","Oleaceae","Ligustr pospolity"
Coontie Palm,"Sago Palm, Cardboard Palm, cycads and zamias","Zamia pumila","Cycadaceae","Zamia karłowata"
Copperleaf,"Firestorm, match-me-if-you-can","Acalypha godseffiana","Euphorbiaceae","Pokrzywiec Godseffa"
Cordatum,"Fiddle-Leaf, Horsehead Philodendron, Heartleaf Philodendron, Panda Plant, Split Leaf Philodendron, Fruit Salad Plant, Red Emerald, Red Princess, Saddle Leaf","Philodendron oxycardium","Araceae","Filodendron pnący"
Corn Plant,"Corn Plant, Cornstalk Plant, Dracaena, Dragon Tree, Ribbon Plant","Dracaena fragrans","Asparagaceae","Dracena wonna"
Cornstalk Plant,"Corn Plant, Dracaena, Dragon Tree, Ribbon Plant","Dracaena fragrans","Agavaceae","Dracena wonna"
Cow parsnip,"Giant Hogweed","Heracleum maximum","Apiaceae","Barszcz zwyczajny"
Cowbane,"Water Hemlock, Poison Parsnip","Cicuta species","Apiaceae","Szalej"
Cuckoo-pint,"Arum, Lord-and-Ladies, Adam-and-Eve, Starch Root, Bobbins, Wake Robin","Arum maculatum","Araceae","Obrazkowiec plamisty"
Cutleaf Philodendron,"Hurricane Plant, Swiss Cheese Plant, Ceriman, Mexican Breadfruit, Split-leaf Philodendron, Window Leaf Plant","Monstera deliciosa","Araceae","Monstera dziurawa"
Cycads,"Sago Palm, Fern Palm","Cycas and Zamia species","Cycadaceae","Sagowce"
Cyclamen,"Sowbread","Cyclamen spp","Primulaceae","Cyklamen"
Daffodil,"Narcissus, Jonquil, Paper White","Narcissus spp","Amaryllidaceae","Narcyz (Żonkil)"
Dahlia,"Many varieties","Dahlia species","Compositae","Dalia (Georgia)"
Daisy,"Chrysanthemum, Mum","Chrysanthemum species","Compositae","Stokrotka (Chryzantema)"
Day Lilies (many varieties),"","Hemerocallis spp.","Xanthorrhoeaceae","Liliowiec"
Deadly Nightshade,"Nightshade, Black Nightshade, European Bittersweet, Climbing Nightshade","Solanum spp","Solanaceae","Psianka (Wilcza jagoda)"
Desert Azalea,"Desert Rose, Mock Azalea, Sabi Star, Impala Lily, Kudu Lily","Adenium obesum","Apocynaceae","Adenium opasłe (Róża pustyni)"
Desert Rose,"Desert Azalea, Impala Lily, Kudu Lily, Mock Azalea, Sabi Star","Adenium obesum","Apocynaceae","Adenium opasłe (Róża pustyni)"
Devil's Backbone,"Mother-In-Law-Plant, Kalanchoe, Chandelier Plant, Mother of Millions","Kalanchoe tubiflora","Crassulaceae","Żyworódka rurkowa (Kalanchoe rurkowate)"
Devils Ivy,"Pothos, Golden Pothos, Taro Vine, Ivy Arum","Epipremnum aureum","Araceae","Epipremnum złociste (Scindapsus)"
Dieffenbachia,"Charming Dieffenbachia, Giant Dumb Cane, Tropic Snow, Dumbcane, Exotica, Spotted Dumb Cane, Exotica Perfection","Dieffenbachia","Araceae","Dieffenbachia"
Dock,"Sorrel","Rumex sp.","Polygonaceae","Szczaw"
Dog Daisy,"Dog Fennel","Achillea millefolium","Compositae","Krwawnik pospolity"
Dog Hobble,"Dog Laurel, Fetter Bush, Black Laurel","Leucothoe sp.","Ericaceae","Kiścień"
Dogbane Hemp,"Bitterroot, Indian Hemp","Apocynum spp.","Apocynaceae","Tojad"
Dracaena,"Corn Plant, Cornstalk Plant, Dragon Tree, Ribbon Plant","Dracaena spp.","Agavaceae","Dracena"
Dumbcane,"Charming Dieffenbachia, Giant Dumb Cane, Tropic Snow, Exotica, Spotted Dumb Cane, Exotica Perfection, Dieffenbachia","Dieffenbachia","Araceae","Dieffenbachia"
Dwarf Poinciana,"Barbados Pride, Peacock Flower","Caesalpinia pulcherrima","Fabaceae","Brezylka nadobna (Pawí kwiat)"
Easter Lily,"","Lilium longiflorum","Liliaceae","Lilia długokwiatowa"
Easter Rose,"Hellebore, Christmas Rose, Lenten Rose","Helleborus niger","Ranunculaceae","Ciemiernik biały"
Eastern Star,"","Dianthus spp.","Caryophyllaceae","Goździk"
Elephant Ears,"Caladium, Taro, Pai, Ape, Cape, Via, Via sori, Malanga","Caladium hortulanum","Araceae","Kaladium (Ucho słonia)"
Elephant Ears,"Caladium, Malanga","Colocasia esculenta","Araceae","Kolokazja jadalna (Taro)"
Elephant-Ear Begonia,"","Begonia scharfii","Begoniaceae","Begonia Scharffa"
Emerald Feather,"Emerald Fern, Asparagus, Asparagus fern, Sprengeri fern, Plumosa fern, Lace fern, Racemose asparagus, Shatavari","Asparagus densiflorus","Liliaceae","Asparagus gęstokwiatowy (Szparag gęstokwiatowy)"
English Holly,"European Holly, Oregon Holly, Inkberry, Winterberry, American Holly","Ilex aquifolium","Aquifoliaceae","Ostrokrzew kolczasty"
English Ivy,"Branching Ivy, Glacier Ivy, Needlepoint Ivy, Sweetheart Ivy, California Ivy","Hedera helix","Araliaceae","Bluszcz pospolity"
English Yew,"Western Yew, Pacific Yew, Japanese Yew, Anglo-Japanese Yew","Taxus baccata","Taxaceae","Cis pospolity"
Epazote,"Wormseed, Jusuit's Tea, Mexican Tea, Paico","Chenopodium ambrosioides","Chenopodiaceae","Komosa piżmowa"
Eucalyptus,"Many cultivars","Eucalyptus species","Myrtaceae","Eukaliptus"
European Bittersweet,"Climbing Nightshade, Deadly Nightshade","Solanum dulcamara","Solanaceae","Psianka słodkogórz"
European Holly,"European Holly, Oregon Holly, Inkberry, Winterberry, American Holly, English Holly","Ilex aquifolium","Aquifoliaceae","Ostrokrzew kolczasty"
Everlasting Pea,"Sweet Pea, Perennial Pea","Lathyrus latifolius","Fabaceae","Groszek szerokolistny"
Exotica,"Charming Dieffenbachia, Giant Dumb Cane, Tropic Snow, Dumbcane, Spotted Dumb Cane, Exotica Perfection, Dieffenbachia","Dieffenbachia amoena","Araceae","Dieffenbachia powabna"
False Bittersweet,"American Bittersweet","Celastrus scandens","Celastraceae","Dławisz amerykański"
False Queen Anne’s Lace,"Bishop's Weed, Greater Ammi","Ammi majus","Apiaceae","Aminek większy"
Feather Geranium,"Jerusalem Oak, Ambrosia Mexicana","Ambrosia mexicana","Chenopodiaceae","Komosa meksykańska"
Fern Palm,"Sago Palm, Cycads","Zamia spp.","Cycadaceae","Zamia (Paproć sagowa)"
Fetter Bush,"Dog Laurel, Dog Hobble, Black Laurel","Leucothoe spp.","Ericaceae","Kiścień"
Fetterbush,"Staggerberry, Maleberry","Lyonia spp.","Ericaceae","Lyonia"
Fiddle-Leaf,"Horsehead Philodendron, Cordatum, Heartleaf Philodendron, Panda Plant, Split Leaf Philodendron, Fruit Salad Plant, Red Emerald, Red Princess, Saddle Leaf","Philodendron bipennifolium","Araceae","Filodendron dwuskrzydłolistny"
Fig,"Weeping Fig, Indian Rubber Plant","Ficus benjamina","Moraceae","Figowiec benjamina (Fikus)"
Figwort,"Buttercup, Butter Cress, Burwort, Crowfoot burwort","Ranunculus acris","Ranunculaceae","Trędownik bulwiasty"
Fire Lily,"Amaryllis, Barbados Lily, Lily of the Palace, Ridderstjerne","Hippeastrum spp.","Amaryllidaceae","Zwartnica"
Flag,"Iris, Snake Lily, Water Flag","Iris species","Iridaceae","Kosaciec (Irys)"
Flamingo Flower,"Flamingo Lily, Tail Flower, Oilcloth Flower, Pigtail Plant, Painter's Pallet","Anthurium scherzeranum","Araceae","Anturium Scherzera"
Fleabane,"Showy Daisy, Horseweed, Seaside Daisy","Erigeron speciosus","Asteraceae","Przymiotno okazałe"
Florida Beauty,"Gold Dust Dracaena, Spotted Dracaena","Dracaena surculosa","Asparagaceae","Dracena odroślowa"
Florist's Calla,"Calla Lily, Pig Lily, White Arum, Trumpet Lily, Arum Lily, Garden Calla, Arum Lily","Zantedeschia aethiopica","Araceae","Kalla etiopska (Cantedeskia etiopska)"
Foxglove,"","Digitalis purpurea","Scrophalariaceae","Naparstnica purpurowa"
Foxtail,"Bristly copperleaf, chenille, red hot cat's tail, red cattail, cat's tail","Acalypha hispida","Euphorbiaceae","Pokrzywiec szorstki"
Franciscan Rain Tree,"Yesterday, Today, Tomorrow, Lady-of-the-Night, Morning-Noon-and-Night, Kiss-Me-Quick","Brunfelsia species","Solanaceae","Brunfelsja"
Garden Calla,"Calla Lily, Pig Lily, White Arum, Trumpet Lily, Florist's Calla, Arum Lily","Zantedeschia aethiopica","Araceae","Kalla etiopska (Cantedeskia etiopska)"
Garden Chamomile,"Chamomile, Ground Apple, Roman Chamomile","Anthemis nobilis","Asteraceae","Rumian rzymski (Rumian szlachetny)"
Garden Hyacinth,"Hyacinth","Hyacinthus orientalis","Liliaceae","Hiacynt wschodni"
Gardenia,"Cape Jasmine","Gardenia jasminoides","Rubiaceae","Gardenia jaśminowata"
Garlic,"Stinking Rose, Rustic Treacle, Camphor of the Poor, Nectar of the Gods, Serpent Garlic, Rocambole","Allium sativum","Liliaceae","Czosnek pospolity"
Geranium,"Many cultivars","Pelargonium species","Geraniaceae","Pelargonia"
Geranium-Leaf Aralia,"Wild Coffee, Coffee Tree","Polyscias guilfoylei","Araliaceae","Polyscias guilfoylei (Aralia)"
Giant Dracaena,"Palm Lily, Grass Palm","Cordyline australis","Agavaceae","Kordylina australijska"
Giant Dumb Cane,"Charming Dieffenbachia, Tropic Snow, Dumbcane, Exotica, Spotted Dumb Cane, Exotica Perfection, Dieffenbachia","Dieffenbachia amoena","Araceae","Dieffenbachia powabna"
Giant Hogweed,"Cow Parsnip","Heracleum maximum","Apiaceae","Barszcz Mantegazziego"
Glacier Ivy,"English Ivy, Branching Ivy, Needlepoint Ivy, Sweetheart Ivy, California Ivy","Hedera helix","Araliaceae","Bluszcz pospolity"
Gladiola,"Many cultivars","Gladiolus species","Iridaceae","Mieczyk"
Gloriosa Lily,"Glory Lily, Climbing Lily, Superb Lily","Gloriosa superba","Liliaceae","Glorioza wspaniała"
Gold Dieffenbachia,"","Dieffenbachia picta","Araceae","Dieffenbachia nakrapiana"
Gold Dust Dracaena,"Florida Beauty","Dracaena surculosa","Agavaceae","Dracena odroślowa"
Golden Birds Nest,"Snake Plant, Mother-in-Law’s Tongue, Good Luck Plant","Sansevieria trifasciata","Agavaceae","Sansewieria gwinejska"
Golden Pothos,"Pothos, Devil's Ivy, Taro Vine, Ivy Arum","Epipremnum aureum","Araceae","Epipremnum złociste (Scindapsus)"
Golden Ragwort,"Ragwort","Senecio species","Compositae","Starzec"
Good Luck Plant,"Shamrock Plant, Sorrel","Oxalis spp.","","Szczawik"
Grapefruit,"","Citrus paradisii","Rutaceae","Grejpfrut"
Grass Palm,"Giant Dracaena, Palm Lily","Cordyline australis","Agavaceae","Kordylina australijska"
Greater Ammi,"Bishop's Weed, False Queen Anne's Lace","Ammi majus","Apiaceae","Aminek większy"
Green Gold Naphthysis,"Nephthytis, Arrow-Head Vine","Syngonium podophyllum","Araceae","Zroślicha stopowcowa"
Ground Apple,"Chamomile, Garden Chamomile, Roman Chamomile","Anthemis nobilis","Asteraceae","Rumian rzymski (Rumian szlachetny)"
Groundsel,"Ragwort, Senecio","Senecio species","Compositae","Starzec"
Hahn's Self Branching English Ivy,"Branching Ivy, Glacier Ivy, Needlepoint Ivy, Sweetheart Ivy, California Ivy, English Ivy","Hedera helix","Araliaceae","Bluszcz pospolity"
Hashish,"Marijuana, Indian Hemp","Cannabis sativa","Cannabaceae","Konopie siewne (Marihuana)"
Hawaiian Ti,"Snake Plant, Giant Dracaena","Giant Dracaena","Agavaceae","Kordylina (Ti)"
Heartleaf Philodendron,"Cordatum, Sweetheart Plant","Philodendron hederaceum","Araceae","Filodendron pnący"
Heavenly Bamboo,"Sacred Bamboo, Nandina","Nandina domestica","Berberidaceae","Nandina domowa"
Hellebore,"Christmas Rose, Lenten Rose, Easter Rose","Helleborus niger","Ranunculaceae","Ciemiernik"
Hercules' Club,"Angelica Tree, Devil's Walking Stick, Prickly Ash, Prickly Elder","Aralia spinosa","Araliaceae","Aralia kolczasta"
Hills of Snow,"Hydrangea, Hortensia, Seven Bark","Hydrangea arborescens","Hydrangeaceae","Hortensja drzewiasta"
Holly,"English Holly, European Holly, Oregon Holly, Inkberry, Winterberry, American Holly","Ilex opaca","Aquifoliaceae","Ostrokrzew"
Horse Chestnut,"Buckeye, Ohio Buckeye, Fetid Buckeye","Aesculus glabra","Sapindaceae","Kasztanowiec gładki"
Horsehead Philodendron,"Horsehead Philodendron, Lacy Tree Philodendron, Selloum, Violin Philodendron, and Fiddle Leaf Philodendron","Philodendron bipennifolium","Araceae","Filodendron dwuskrzydłolistny"
Horseweed,"Showy Daisy, Fleabane, Seaside Daisy","Erigeron speciosus","Asteraceae","Przymiotno"
Hortensia,"Hydrangea, Hills of Snow, Seven Bark","Hydrangea arborescens","Hydrangeaceae","Hortensja"
Hosta,"Plantain Lily, Funkia","Hosta plataginea","Liliaceae","Funkia (Hosta)"
Hurricane Plant,"Cutleaf Philodendron, Swiss Cheese Plant, Ceriman, Mexican Breadfruit","Monstera deliciosa","Araceae","Monstera dziurawa"
Hyacinth,"","Hyacinthus orientalis","Liliaceae","Hiacynt"
Hydrangea,"Hortensia, Hills of Snow, Seven Bark","Hydrangea arborescens","Hydrangeaceae","Hortensja"
Impala Lily,"Desert Rose, Mock Azalea, Sabi Star, Desert Azalea, Kudu Lily","Adenium obesum","Apocynaceae","Adenium opasłe (Róża pustyni)"
Inch Plant,"Speedy Henry","Tradescantia flumeninsis","Commelinaceae","Trzykrotka fluminensis"
Indian Apple,"Mayapple, Indian Apple Root, Umbrella Leaf, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry, American Mandrake","Podophyllum peltatum","Berberidaceae","Stopowiec tarczowaty"
Indian Borage,"Bread and Butter Plant, Country Borage, Spanish Thyme, Coleus, Maratha, Militini, East Indian Thyme","Coleus ampoinicus","Labiatae","Plectranthus amboinicus (Koleus)"
Indian Hemp,"Dogbane Hemp, Bitter Root","Apocynum androsaemifolium","Apocynaceae","Toinadół owłosiony"
Indian Hemp,"Marijuana, Hashish","Cannabis sativa","Cannabaceae","Konopie siewne (Marihuana)"
Indian Pink,"Lobelia, Cardinal Flower","Lobelia cardinalis","Campanulaceae","Lobelia szkarłatna"
Indian Rubber Plant,"Fig, Weeping Fig","Ficus benjamina","Moraceae","Figowiec benjamina (Fikus)"
Inkberry,"English Holly, European Holly, Oregon Holly, American Holly, Winterberry","Ilex opaca","Aquifoliaceae","Ostrokrzew (Atramentówka)"
Iris,"Flag, Snake Lily, Water Flag","Iris species","Iridaceae","Kosaciec (Irys)"
Iron Cross Begonia,"","Begonia masoniana","","Begonia Masona"
Ivy Arum,"Pothos, Golden Pothos, Taro Vine, Devil's Ivy","Epipremnum aureum","Araceae","Epipremnum złociste (Scindapsus)"
Jack-in-the-pulpit,"Three-leaved indian turnip, Devil's dear, Wake robin, Starch wort, Wild turnip, Dragon root, Bog onion, Pepper turnip, Brown dragon, Memory root","Arisaema triphyllum","Araceae","Arizema trójlistkowa"
Jade Plant,"Baby Jade, Dwarf rubber plant, Jade tree, Chinese rubber plant, Japanese rubber plant","Crassula argentea","Crassulaceae","Grubosz jajowaty (Drzewko szczęścia)"
Japanese Show Lily,"","Lilium speciosum","Liliaceae","Lilia wspaniała"
Japanese Yew,"English Yew, Western Yew, Pacific Yew, Anglo-Japanese Yew","Taxus sp.","Taxaceae","Cis japoński"
Jerusalem Cherry,"Natal cherry, Winter cherry","Solanum pseudocapsicum","Solanaceae","Psianka pieprzowa (Wiśnia jerozolimska)"
Jerusalem Oak,"Feather Geranium, Ambrosia Mexicana","Ambrosia mexicana","Chenopodiaceae","Komosa meksykańska"
Jonquil,"Daffodil, Narcissus, Paper White","Narcissus jonquilla","Amaryllidaceae","Narcyz żonkil (Żonkil)"
Kaffir Lily,"Clivia Lily","Clivia minata","Amaryllidaceae","Kliwia cynobrowa"
Kalanchoe,"Mother-In-Law-Plant, Devils Backbone, Chandelier Plant, Mother of Millions","Kalanchoe spp","Crassulaceae","Kalanchoe (Żyworódka)"
Kiss-me-quick,"Yesterday, Today, Tomorrow, Lady-of-the-Night, Morning-Noon-and-Night, Fransiscan Rain Tree","Brunfelsia species","Solanaceae","Brunfelsja"
Klamath Weed,"St. John's Wort","Hypericum perforatum","Clusiaceae","Dziurawiec zwyczajny"
Kudu Lily,"Desert Azalea, Mock Azalea, Sabi Star, Impala Lily, Desert Rose","Adenium obesum","Apocynaceae","Adenium opasłe (Róża pustyni)"
Lace Fern,"Asparagus, Emerald Feather, Emerald Fern, Sprengeri Fern, Plumosa Fern, Asparagus Fern, Racemose Asparagus, Shatavari","Asparagus densiflorus cv sprengeri","Liliaceae","Asparagus Sprengera (Szparag Sprengera)"
Lacy Tree Philodendron,"","Philodendron selloum","Araceae","Filodendron Selloum"
